locationId;Estacion_de_Medicion;Material_Particular;Valor;dateUtc;dateLocal;Unidad_Medida;latitude;longitude;Pais;city;isMobile;Entidad;sensorType
1417;Carvajal_Incolcar;pm10;50.8;2023-03-12T19:56:09+00:00;2023-03-12T14:56:09-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1418;Carvajal_Incolcar;pm10;50.8;2023-03-12T22:20:11+00:00;2023-03-12T17:20:11-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1419;Carvajal_Incolcar;pm10;50.9;2023-03-12T15:04:06+00:00;2023-03-12T10:04:06-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1420;Carvajal_Incolcar;pm10;51;2023-03-12T13:36:05+00:00;2023-03-12T08:36:05-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1421;Carvajal_Incolcar;pm10;51;2023-03-12T20:02:09+00:00;2023-03-12T15:02:09-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1422;Carvajal_Incolcar;pm10;51.1;2023-03-12T12:58:04+00:00;2023-03-12T07:58:04-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1423;Carvajal_Incolcar;pm10;51.1;2023-03-12T13:26:05+00:00;2023-03-12T08:26:05-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1424;Carvajal_Incolcar;pm10;51.1;2023-03-12T14:40:06+00:00;2023-03-12T09:40:06-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1425;Carvajal_Incolcar;pm10;51.3;2023-03-12T13:04:04+00:00;2023-03-12T08:04:04-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1426;Carvajal_Incolcar;pm10;51.3;2023-03-12T15:08:06+00:00;2023-03-12T10:08:06-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
